Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
card games,card games,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books
wired doorbell,wired doorbell,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
bohemian dresses,bohemian dresses,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
spa near me,spa near me,Lifestyle,,,,Lifestyle
omnidesk singapore,omnidesk singapore,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
hooga sg,hooga sg,Home & Living,-,,,Home & Living
plant rack,plant rack,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
europace air fryer,europace air fryer,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
father's day gift singapore,father's day gift singapore,Lifestyle,,,,Lifestyle
shredding machine,shredding machine,Home & Living,Home & Living,Home & Living,,Home & Living
magic sponge,magic sponge,Home & Living,Home & Living,Home & Living,,Home & Living
black friday sales,black friday sales,Platform Terms (Lazada / Shopee),Men Clothes,Beauty,Beauty,Platform Terms (Lazada / Shopee)
elmark ceiling fan,elmark ceiling fan,Home Appliances,Home Appliances,,,Home Appliances
money pulling cake,money pulling cake,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
earthen pot,earthen pot,Home & Living,Home & Living,,,Home & Living
singapore room divider,singapore room divider,Home & Living,,,,Home & Living
plastics sheet,plastics sheet,Home & Living,Home & Living,Home & Living,,Home & Living
osim massage chair,osim massage chair,Home & Living,Home & Living,Home & Living,,Home & Living
meadow chips,meadow chips,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
cycling shorts padded,cycling shorts padded,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
soundpeats,soundpeats,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
shopeemall,shopeemall,Platform Terms (Lazada / Shopee),Mobile & Gadgets,,,Platform Terms (Lazada / Shopee)
robot cleaner singapore,robot cleaner singapore,Home Appliances,Home Appliances,,,Home Appliances
allpresan pro footcare,allpresan pro footcare,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
susenji mofa,susenji mofa,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
cooker induction,cooker induction,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
adidas backpack,adidas backpack,Sports & Outdoors,Women's Bags,Women's Bags,Men's Bags,Sports & Outdoors
my mum's cookies,my mum's cookies,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
laneige neo cushion,laneige neo cushion,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
boxing glove singapore,boxing glove singapore,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
yuwell oximeter,yuwell oximeter,Health & Wellness,Health & Wellness,,,Health & Wellness
xiaomi fan singapore,xiaomi fan singapore,Home Appliances,,Home Appliances,,Home Appliances
filing folder,filing folder,Home & Living,Home & Living,,,Home & Living
gilette shaver,gilette shaver,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
punk 57,punk 57,Hobbies & Books,,Men's Wear,,Hobbies & Books
door curtain,door curtain,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
school backpack,school backpack,Kids Fashion,Women's Bags,Women's Bags,Sports & Outdoors,Kids Fashion
sulfate free shampoo singapore,sulfate free shampoo singapore,Beauty & Personal Care,,,,Beauty & Personal Care
diffuser aromatherapy,diffuser aromatherapy,Home & Living,Home & Living,Home & Living,,Home & Living
xbox controller,xbox controller,Video Games,Video Games,Video Games,Video Games,Video Games
photo printer portable,photo printer portable,Cameras & Drones,Computers & Peripherals,Cameras & Drones,,Cameras & Drones
pleated dresses,pleated dresses,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
tucker cap,tucker cap,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
ferrero rocher chocolate,ferrero rocher chocolate,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
sunnies face,sunnies face,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
russell taylor bread maker,russell taylor bread maker,Home Appliances,Home & Living,,,Home Appliances
retractable clothes hanger,retractable clothes hanger,Home & Living,Home & Living,Home & Living,,Home & Living
eyescandy,eyescandy,Others,,,,Others
naengmyeon singapore,naengmyeon singapore,Food & Beverages,,Food & Beverages,,Food & Beverages
desk l shaped,desk l shaped,Home & Living,Home & Living,Home & Living,,Home & Living
microwavable container,microwavable container,Home & Living,Home & Living,,,Home & Living
nike shorts,nike shorts,Men's Wear,Men's Wear,Men's Wear,Men's Wear,Men's Wear
redmi note 10 pro 5g,redmi note 10 pro 5g,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
dishwashing glove,dishwashing glove,Home & Living,Home & Living,Home & Living,,Home & Living
entro cycles,entro cycles,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
among us pop it,among us pop it,"Toys, Kids & Babies","Toys, Kids & Babies",Hobbies & Books,,"Toys, Kids & Babies"
taylor swift merch,taylor swift merch,Hobbies & Books,Men's Wear,Hobbies & Books,,Hobbies & Books
best personal trainer singapore,best personal trainer singapore,Lifestyle,,,,Lifestyle
transtar travel bus ticket,transtar travel bus ticket,"Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services",Home & Living,"Dining, Travel & Services"
pump bike,pump bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
ingco singapore,ingco singapore,Home & Living,Hobbies & Collections,Home & Living,Home & Living,Home & Living
flagship games,flagship games,Hobbies & Books,Computers & Peripherals,,,Hobbies & Books
avenys,avenys,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
where to buy stamps singapore,where to buy stamps singapore,Home & Living,,,,Home & Living
xdrop,xdrop,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
spotify keychain,spotify keychain,Jewellery & Accessories,Jewellery & Accessories,Women's Bags,,Jewellery & Accessories
iphone 12 pro max case,iphone 12 pro max case,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
square tables,square tables,Home & Living,Home & Living,Home & Living,,Home & Living
unicycles,unicycles,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
elextrolux oven,elextrolux oven,Home Appliances,,Home Appliances,,Home Appliances
gmk keycaps,gmk keycaps,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
self photo studio singapore,self photo studio singapore,Lifestyle,Cameras & Drones,Cameras & Drones,Cameras & Drones,Lifestyle
arccoil,arccoil,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
jjambong,jjambong,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
watch storage box,watch storage box,Watches,Watches,Watches,Watches,Watches
sister ann eyeliner,sister ann eyeliner,Beauty & Personal Care,,,Beauty & Personal Care,Beauty & Personal Care
bidet toilet seat,bidet toilet seat,Home & Living,Home & Living,Home & Living,,Home & Living
hans grohe singapore,hans grohe singapore,Home & Living,,,,Home & Living
abalone,abalone,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
adidas slide,adidas slide,Men's Shoes,Men's Shoes,Men's Shoes,,Men's Shoes
dell monitor singapore,dell monitor singapore,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
microwave proof roasting rack,microwave proof roasting rack,Home & Living,,,,Home & Living
flip phone singapore,flip phone singapore,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
bath and bodyworks singapore,bath and bodyworks singapore,Beauty & Personal Care,,Beauty & Personal Care,,Beauty & Personal Care
山河令,山河令,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books
germkill,germkill,Health & Wellness,Home & Living,Home & Living,,Health & Wellness
greenleif,greenleif,Home & Living,,Health & Wellness,,Home & Living
combiderm cream,combiderm cream,Health & Wellness,Beauty & Personal Care,Beauty & Personal Care,,Health & Wellness
千古玦尘,千古玦尘,Hobbies & Books,Hobbies & Books,,,Hobbies & Books
uzui,uzui,Hobbies & Books,,Hobbies & Books,,Hobbies & Books
skylight abalone gift set,skylight abalone gift set,Food & Beverages,Food & Beverages,,,Food & Beverages
cake mixer,cake mixer,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
singer sewing machine,singer sewing machine,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
muscat grapes singapore,muscat grapes singapore,Food & Beverages,,,,Food & Beverages
track light,track light,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
qishan,qishan,Video Games,Jewellery & Accessories,Video Games,,Video Games
peephole camera,peephole camera,Home & Living,Cameras & Drones,Cameras & Drones,,Home & Living
xiaomi airdots pro,xiaomi airdots pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
homepod mini singapore,homepod mini singapore,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
razer viper ultimate,razer viper ultimate,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
ka capsule,ka capsule,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
begasso bicycle,begasso bicycle,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
nanoleaf,nanoleaf,Home & Living,Home & Living,Home & Living,,Home & Living
pvc sheet singapore,pvc sheet singapore,Home & Living,Home & Living,Home & Living,,Home & Living
2021 diary,2021 diary,Home & Living,Home & Living,Home & Living,,Home & Living
golden mile mookata,golden mile mookata,Lifestyle,,,,Lifestyle
kim choo dumpling,kim choo dumpling,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
bimba y lola bags,bimba y lola bags,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
model o wireless,model o wireless,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
digital clock,digital clock,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
hachiko folding bike,hachiko folding bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
lunar calendar 2020,lunar calendar 2020,Home & Living,Home & Living,Home & Living,,Home & Living
portable bbq,portable bbq,Home Appliances,Sports & Outdoors,Sports & Outdoors,Home & Living,Home Appliances
smart watch singapore,smart watch singapore,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
hearing aids singapore,hearing aids singapore,Health & Wellness,Health & Wellness,,,Health & Wellness
wireless doorbell,wireless doorbell,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
leather messenger bag singapore,leather messenger bag singapore,Men's Bags,Men Bags,Men Bags,Men Bags,Men's Bags
casio calculator singapore,casio calculator singapore,Home & Living,Home & Living,,,Home & Living
bath and bodyworks,bath and bodyworks,Beauty & Personal Care,Beauty & Personal Care,Home & Living,,Beauty & Personal Care
bicycle bag,bicycle bag,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
toy or games,toy or games,Video Games,"Toys, Kids & Babies",,,Video Games
packaging boxes,packaging boxes,Home & Living,Home & Living,Home & Living,,Home & Living
plastic drawer cabinet,plastic drawer cabinet,Home & Living,Home & Living,Home & Living,,Home & Living
cny decorations,cny decorations,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
hooga plaza singapura,hooga plaza singapura,Home & Living,,,,Home & Living
arthesdam jewellery,arthesdam jewellery,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
software engineer intern,software engineer intern,Platform Terms (Lazada / Shopee),Men Clothes,Men Clothes,Men Clothes,Platform Terms (Lazada / Shopee)
lee mart,lee mart,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
philips downlight,philips downlight,Home & Living,Home & Living,Home & Living,,Home & Living
pictures in frames,pictures in frames,Home & Living,Home & Living,Home & Living,,Home & Living
outdoor lights singapore,outdoor lights singapore,Home & Living,Home & Living,Sports & Outdoors,Sports & Outdoors,Home & Living
fitbit charge 4,fitbit charge 4,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
playstation 5 pre order singapore,playstation 5 pre order singapore,Video Games,,,,Video Games
bosch dishwasher singapore,bosch dishwasher singapore,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
hi roller,hi roller,"Dining, Travel & Services",Hobbies & Books,,,"Dining, Travel & Services"
7 inch phone,7 inch phone,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
ph tester,ph tester,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
prom dress,prom dress,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
tong heng egg tart,tong heng egg tart,Food & Beverages,,Food & Beverages,,Food & Beverages
book solat jumaat,book solat jumaat,Hobbies & Books,,,,Hobbies & Books
sk jewellery singapore,sk jewellery singapore,Jewellery & Accessories,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
leather office chair,leather office chair,Home & Living,Home & Living,Home & Living,,Home & Living
xiaomi mi 11,xiaomi mi 11,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
dumbell,dumbell,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
wall shelves singapore,wall shelves singapore,Home & Living,,Home & Living,,Home & Living
bonjour cosmetics,bonjour cosmetics,Beauty & Personal Care,Women's Bags,,,Beauty & Personal Care
peg+perego,peg+perego,"Toys, Kids & Babies",,,,"Toys, Kids & Babies"
iphone 10,iphone 10,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
bluetooth mic,bluetooth mic,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
blue pea flower,blue pea flower,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
nike water bottle,nike water bottle,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
laminator paper,laminator paper,Home & Living,Home & Living,,,Home & Living
ikea shark,ikea shark,Home & Living,"Toys, Kids & Babies","Toys, Kids & Babies",,Home & Living
led light strips,led light strips,Home & Living,Home & Living,Home & Living,,Home & Living
electric mixer,electric mixer,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
fluted panel,fluted panel,Home & Living,Women's Apparel,,,Home & Living
trolley ikea,trolley ikea,Home & Living,Home & Living,Home & Living,,Home & Living
fish crackers,fish crackers,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
anime body pillows,anime body pillows,Hobbies & Books,Home & Living,Home & Living,,Hobbies & Books
foldable small table,foldable small table,Home & Living,Home & Living,Home & Living,,Home & Living
sl food,sl food,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
24 hour massage singapore,24 hour massage singapore,Lifestyle,,,,Lifestyle
